  -145.0159168897  -144.96629855368 
  -138.73273158253  -138.75318722384 
  -137.85308563952  -137.99435855969 
  -133.32919221835  -133.35442154134 
  -132.07255515691  -132.01710900842 
  -128.67963509104  -128.65514585446 
  -125.28671502516  -125.33982372469 
  -121.51680384085  -121.47359924708 
  -117.24423783197  -117.27764038407 
  -112.7203444108  -112.77130573426 
  -107.94512357735  -107.98860649839 
  -102.9185753316  -102.95259318261 
  -97.640699673571  -97.682132610605 
  -92.237160309396  -92.19280618405 
  -86.456629826791  -86.497813378156 
  -80.550435638042  -80.608522857877 
  -74.51857774315  -74.534858821393 
  -68.23539243597  -68.285579579542 
  -61.826543422647  -61.868485333205 
  -55.29203070318  -55.29057712917 
  -48.506190571426  -48.558181049518 
  -41.594686733529  -41.677046957516 
  -34.557519189488  -34.652428195089 
  -27.394687939303  -27.489146741708 
  -20.106192982975  -20.191647090994 
  -12.692034320503  -12.764041244436 
  -5.1522119518873  -5.2101466217586 
